query_terms	preference_comparison	preference_judgment
Renewable Energy Target	audio_corrected_synt vs. audio_metadata_synt	No preference
Renewable Energy Target	audio_corrected_synt vs. audio_metadata_synt	metadata
air attack to islamic state	audio_corrected_synt vs. audio_metadata_synt	No preference
air attack to islamic state	audio_corrected_synt vs. audio_metadata_synt	corrected
air attack to islamic state	audio_corrected_synt vs. audio_metadata_synt	corrected
air attack to islamic state	audio_corrected_synt vs. audio_metadata_synt	corrected
air attack to islamic state	audio_corrected_synt vs. audio_metadata_synt	corrected
air attack to islamic state	audio_corrected_synt vs. audio_metadata_synt	metadata
air attack to islamic state	audio_corrected_synt vs. audio_metadata_synt	No preference
air attack to islamic state	audio_corrected_synt vs. audio_metadata_synt	corrected
air attack to islamic state	audio_corrected_synt vs. audio_metadata_synt	corrected
air attack to islamic state	audio_corrected_synt vs. audio_metadata_synt	corrected
air attack to islamic state	audio_corrected_synt vs. audio_metadata_synt	No preference
air attack to islamic state	audio_corrected_synt vs. audio_metadata_synt	corrected
air attack to islamic state	audio_corrected_synt vs. audio_metadata_synt	corrected
air attack to islamic state	audio_corrected_synt vs. audio_metadata_synt	corrected
air attack to islamic state	audio_corrected_synt vs. audio_metadata_synt	corrected
productivity commission's reportÇ_¶ÿchildcare system	audio_corrected_synt vs. audio_metadata_synt	metadata
productivity commission's reportÇ_¶ÿchildcare system	audio_corrected_synt vs. audio_metadata_synt	metadata
productivity commission's reportÇ_¶ÿchildcare system	audio_corrected_synt vs. audio_metadata_synt	No preference
productivity commission's reportÇ_¶ÿchildcare system	audio_corrected_synt vs. audio_metadata_synt	metadata
productivity commission's reportÇ_¶ÿchildcare system	audio_corrected_synt vs. audio_metadata_synt	metadata
productivity commission's reportÇ_¶ÿchildcare system	audio_corrected_synt vs. audio_metadata_synt	metadata
productivity commission's reportÇ_¶ÿchildcare system	audio_corrected_synt vs. audio_metadata_synt	metadata
floral tribute martin place	audio_corrected_synt vs. audio_metadata_synt	corrected
floral tribute martin place	audio_corrected_synt vs. audio_metadata_synt	metadata
floral tribute martin place	audio_corrected_synt vs. audio_metadata_synt	No preference
floral tribute martin place	audio_corrected_synt vs. audio_metadata_synt	metadata
floral tribute martin place	audio_corrected_synt vs. audio_metadata_synt	metadata
floral tribute martin place	audio_corrected_synt vs. audio_metadata_synt	corrected
floral tribute martin place	audio_corrected_synt vs. audio_metadata_synt	No preference
free trade china australia	audio_corrected_synt vs. audio_metadata_synt	metadata
free trade china australia	audio_corrected_synt vs. audio_metadata_synt	metadata
free trade china australia	audio_corrected_synt vs. audio_metadata_synt	corrected
free trade china australia	audio_corrected_synt vs. audio_metadata_synt	metadata
free trade china australia	audio_corrected_synt vs. audio_metadata_synt	No preference
free trade china australia	audio_corrected_synt vs. audio_metadata_synt	corrected
free trade china australia	audio_corrected_synt vs. audio_metadata_synt	corrected
free trade china australia	audio_corrected_synt vs. audio_metadata_synt	metadata
free trade china australia	audio_corrected_synt vs. audio_metadata_synt	corrected
malcolm fraser died	audio_corrected_synt vs. audio_metadata_synt	metadata
malcolm fraser died	audio_corrected_synt vs. audio_metadata_synt	corrected
malcolm fraser died	audio_corrected_synt vs. audio_metadata_synt	metadata
malcolm fraser died	audio_corrected_synt vs. audio_metadata_synt	corrected
malcolm fraser died	audio_corrected_synt vs. audio_metadata_synt	corrected
malcolm fraser died	audio_corrected_synt vs. audio_metadata_synt	corrected
malcolm fraser died	audio_corrected_synt vs. audio_metadata_synt	corrected
malcolm fraser died	audio_corrected_synt vs. audio_metadata_synt	No preference
malcolm fraser died	audio_corrected_synt vs. audio_metadata_synt	corrected
australian arrested in bali to be executed	audio_corrected_synt vs. audio_metadata_synt	corrected
australian arrested in bali to be executed	audio_corrected_synt vs. audio_metadata_synt	corrected
australian arrested in bali to be executed	audio_corrected_synt vs. audio_metadata_synt	corrected
australian arrested in bali to be executed	audio_corrected_synt vs. audio_metadata_synt	No preference
australian arrested in bali to be executed	audio_corrected_synt vs. audio_metadata_synt	metadata
australian arrested in bali to be executed	audio_corrected_synt vs. audio_metadata_synt	corrected
australian arrested in bali to be executed	audio_corrected_synt vs. audio_metadata_synt	corrected
australian arrested in bali to be executed	audio_corrected_synt vs. audio_metadata_synt	corrected
australian arrested in bali to be executed	audio_corrected_synt vs. audio_metadata_synt	metadata
aboriginal women died police custody	audio_corrected_synt vs. audio_metadata_synt	corrected
aboriginal women died police custody	audio_corrected_synt vs. audio_metadata_synt	corrected
aboriginal women died police custody	audio_corrected_synt vs. audio_metadata_synt	corrected
aboriginal women died police custody	audio_corrected_synt vs. audio_metadata_synt	corrected
aboriginal women died police custody	audio_corrected_synt vs. audio_metadata_synt	corrected
aboriginal women died police custody	audio_corrected_synt vs. audio_metadata_synt	corrected
aboriginal women died police custody	audio_corrected_synt vs. audio_metadata_synt	corrected
aboriginal women died police custody	audio_corrected_synt vs. audio_metadata_synt	corrected
aboriginal women died police custody	audio_corrected_synt vs. audio_metadata_synt	corrected
cuba america re-establishing diplomatic relations 	audio_corrected_synt vs. audio_metadata_synt	corrected
cuba america re-establishing diplomatic relations 	audio_corrected_synt vs. audio_metadata_synt	metadata
cuba america re-establishing diplomatic relations 	audio_corrected_synt vs. audio_metadata_synt	metadata
cuba america re-establishing diplomatic relations 	audio_corrected_synt vs. audio_metadata_synt	No preference
cuba america re-establishing diplomatic relations 	audio_corrected_synt vs. audio_metadata_synt	metadata
cuba america re-establishing diplomatic relations 	audio_corrected_synt vs. audio_metadata_synt	metadata
cuba america re-establishing diplomatic relations 	audio_corrected_synt vs. audio_metadata_synt	corrected
cuba america re-establishing diplomatic relations 	audio_corrected_synt vs. audio_metadata_synt	metadata
cuba america re-establishing diplomatic relations 	audio_corrected_synt vs. audio_metadata_synt	corrected
cuba america re-establishing diplomatic relations 	audio_corrected_synt vs. audio_metadata_synt	corrected
Royal commission Mangrove Mountain Yoga Ashram	audio_corrected_synt vs. audio_metadata_synt	metadata
Royal commission Mangrove Mountain Yoga Ashram	audio_corrected_synt vs. audio_metadata_synt	corrected
Royal commission Mangrove Mountain Yoga Ashram	audio_corrected_synt vs. audio_metadata_synt	corrected
Royal commission Mangrove Mountain Yoga Ashram	audio_corrected_synt vs. audio_metadata_synt	corrected
Royal commission Mangrove Mountain Yoga Ashram	audio_corrected_synt vs. audio_metadata_synt	corrected
Royal commission Mangrove Mountain Yoga Ashram	audio_corrected_synt vs. audio_metadata_synt	corrected
Royal commission Mangrove Mountain Yoga Ashram	audio_corrected_synt vs. audio_metadata_synt	corrected
Royal commission Mangrove Mountain Yoga Ashram	audio_corrected_synt vs. audio_metadata_synt	corrected
News Corp Nova Peris leaked email	audio_corrected_synt vs. audio_metadata_synt	No preference
News Corp Nova Peris leaked email	audio_corrected_synt vs. audio_metadata_synt	corrected
News Corp Nova Peris leaked email	audio_corrected_synt vs. audio_metadata_synt	No preference
News Corp Nova Peris leaked email	audio_corrected_synt vs. audio_metadata_synt	metadata
News Corp Nova Peris leaked email	audio_corrected_synt vs. audio_metadata_synt	corrected
News Corp Nova Peris leaked email	audio_corrected_synt vs. audio_metadata_synt	corrected
News Corp Nova Peris leaked email	audio_corrected_synt vs. audio_metadata_synt	corrected
News Corp Nova Peris leaked email	audio_corrected_synt vs. audio_metadata_synt	corrected
Freedom Ride Perkins	audio_corrected_synt vs. audio_metadata_synt	corrected
Freedom Ride Perkins	audio_corrected_synt vs. audio_metadata_synt	corrected
Freedom Ride Perkins	audio_corrected_synt vs. audio_metadata_synt	corrected
Freedom Ride Perkins	audio_corrected_synt vs. audio_metadata_synt	No preference
Freedom Ride Perkins	audio_corrected_synt vs. audio_metadata_synt	metadata
Freedom Ride Perkins	audio_corrected_synt vs. audio_metadata_synt	metadata
Freedom Ride Perkins	audio_corrected_synt vs. audio_metadata_synt	corrected
Freedom Ride Perkins	audio_corrected_synt vs. audio_metadata_synt	corrected
Children in immigration detention centers australia	audio_corrected_synt vs. audio_metadata_synt	metadata
Children in immigration detention centers australia	audio_corrected_synt vs. audio_metadata_synt	No preference
Children in immigration detention centers australia	audio_corrected_synt vs. audio_metadata_synt	metadata
Children in immigration detention centers australia	audio_corrected_synt vs. audio_metadata_synt	metadata
Children in immigration detention centers australia	audio_corrected_synt vs. audio_metadata_synt	corrected
Children in immigration detention centers australia	audio_corrected_synt vs. audio_metadata_synt	No preference
Children in immigration detention centers australia	audio_corrected_synt vs. audio_metadata_synt	metadata
Children in immigration detention centers australia	audio_corrected_synt vs. audio_metadata_synt	metadata
Children in immigration detention centers australia	audio_corrected_synt vs. audio_metadata_synt	corrected
Children in immigration detention centers australia	audio_corrected_synt vs. audio_metadata_synt	metadata
Children in immigration detention centers australia	audio_corrected_synt vs. audio_metadata_synt	corrected
Inflamatory deseases university of queensland treatment breakthrough	audio_corrected_synt vs. audio_metadata_synt	corrected
Inflamatory deseases university of queensland treatment breakthrough	audio_corrected_synt vs. audio_metadata_synt	corrected
Inflamatory deseases university of queensland treatment breakthrough	audio_corrected_synt vs. audio_metadata_synt	corrected
Inflamatory deseases university of queensland treatment breakthrough	audio_corrected_synt vs. audio_metadata_synt	corrected
Inflamatory deseases university of queensland treatment breakthrough	audio_corrected_synt vs. audio_metadata_synt	corrected
Inflamatory deseases university of queensland treatment breakthrough	audio_corrected_synt vs. audio_metadata_synt	corrected
Inflamatory deseases university of queensland treatment breakthrough	audio_corrected_synt vs. audio_metadata_synt	corrected
IS extremists Kobane US airstrikes	audio_corrected_synt vs. audio_metadata_synt	No preference
IS extremists Kobane US airstrikes	audio_corrected_synt vs. audio_metadata_synt	corrected
IS extremists Kobane US airstrikes	audio_corrected_synt vs. audio_metadata_synt	No preference
IS extremists Kobane US airstrikes	audio_corrected_synt vs. audio_metadata_synt	corrected
IS extremists Kobane US airstrikes	audio_corrected_synt vs. audio_metadata_synt	metadata
IS extremists Kobane US airstrikes	audio_corrected_synt vs. audio_metadata_synt	metadata
IS extremists Kobane US airstrikes	audio_corrected_synt vs. audio_metadata_synt	No preference
Jim Byrnes trade union commision	audio_corrected_synt vs. audio_metadata_synt	No preference
Jim Byrnes trade union commision	audio_corrected_synt vs. audio_metadata_synt	corrected
Jim Byrnes trade union commision	audio_corrected_synt vs. audio_metadata_synt	metadata
Jim Byrnes trade union commision	audio_corrected_synt vs. audio_metadata_synt	metadata
Jim Byrnes trade union commision	audio_corrected_synt vs. audio_metadata_synt	corrected
Jim Byrnes trade union commision	audio_corrected_synt vs. audio_metadata_synt	corrected
Jim Byrnes trade union commision	audio_corrected_synt vs. audio_metadata_synt	metadata
Jim Byrnes trade union commision	audio_corrected_synt vs. audio_metadata_synt	metadata
Jim Byrnes trade union commision	audio_corrected_synt vs. audio_metadata_synt	metadata
Jim Byrnes trade union commision	audio_corrected_synt vs. audio_metadata_synt	metadata
Jim Byrnes trade union commision	audio_corrected_synt vs. audio_metadata_synt	metadata
Sex abuse New Sounth Wales ashram	audio_corrected_synt vs. audio_metadata_synt	No preference
Sex abuse New Sounth Wales ashram	audio_corrected_synt vs. audio_metadata_synt	corrected
Sex abuse New Sounth Wales ashram	audio_corrected_synt vs. audio_metadata_synt	corrected
Sex abuse New Sounth Wales ashram	audio_corrected_synt vs. audio_metadata_synt	corrected
Sex abuse New Sounth Wales ashram	audio_corrected_synt vs. audio_metadata_synt	corrected
Sex abuse New Sounth Wales ashram	audio_corrected_synt vs. audio_metadata_synt	corrected
Tony Abbott offending indigenous people	audio_corrected_synt vs. audio_metadata_synt	metadata
Tony Abbott offending indigenous people	audio_corrected_synt vs. audio_metadata_synt	No preference
Tony Abbott offending indigenous people	audio_corrected_synt vs. audio_metadata_synt	corrected
Tony Abbott offending indigenous people	audio_corrected_synt vs. audio_metadata_synt	metadata
Tony Abbott offending indigenous people	audio_corrected_synt vs. audio_metadata_synt	metadata
Tony Abbott offending indigenous people	audio_corrected_synt vs. audio_metadata_synt	metadata
Tony Abbott offending indigenous people	audio_corrected_synt vs. audio_metadata_synt	No preference
Dog show Crufts controversy	audio_corrected_synt vs. audio_metadata_synt	metadata
Dog show Crufts controversy	audio_corrected_synt vs. audio_metadata_synt	corrected
Dog show Crufts controversy	audio_corrected_synt vs. audio_metadata_synt	corrected
Dog show Crufts controversy	audio_corrected_synt vs. audio_metadata_synt	metadata
Dog show Crufts controversy	audio_corrected_synt vs. audio_metadata_synt	corrected
Dog show Crufts controversy	audio_corrected_synt vs. audio_metadata_synt	corrected
Dog show Crufts controversy	audio_corrected_synt vs. audio_metadata_synt	corrected
Dog show Crufts controversy	audio_corrected_synt vs. audio_metadata_synt	corrected
Dog show Crufts controversy	audio_corrected_synt vs. audio_metadata_synt	metadata
Black Saturday AusNet payout	audio_corrected_synt vs. audio_metadata_synt	No preference
Black Saturday AusNet payout	audio_corrected_synt vs. audio_metadata_synt	corrected
Black Saturday AusNet payout	audio_corrected_synt vs. audio_metadata_synt	corrected
Black Saturday AusNet payout	audio_corrected_synt vs. audio_metadata_synt	corrected
Black Saturday AusNet payout	audio_corrected_synt vs. audio_metadata_synt	corrected
Black Saturday AusNet payout	audio_corrected_synt vs. audio_metadata_synt	corrected
Black Saturday AusNet payout	audio_corrected_synt vs. audio_metadata_synt	corrected
Black Saturday AusNet payout	audio_corrected_synt vs. audio_metadata_synt	corrected
Germanwings Andreas Lubitz	audio_corrected_synt vs. audio_metadata_synt	corrected
Germanwings Andreas Lubitz	audio_corrected_synt vs. audio_metadata_synt	metadata
Germanwings Andreas Lubitz	audio_corrected_synt vs. audio_metadata_synt	corrected
Germanwings Andreas Lubitz	audio_corrected_synt vs. audio_metadata_synt	corrected
Germanwings Andreas Lubitz	audio_corrected_synt vs. audio_metadata_synt	corrected
Germanwings Andreas Lubitz	audio_corrected_synt vs. audio_metadata_synt	No preference
Germanwings Andreas Lubitz	audio_corrected_synt vs. audio_metadata_synt	corrected
Germanwings Andreas Lubitz	audio_corrected_synt vs. audio_metadata_synt	metadata
Germanwings Andreas Lubitz	audio_corrected_synt vs. audio_metadata_synt	corrected
Germanwings Andreas Lubitz	audio_corrected_synt vs. audio_metadata_synt	corrected
heart transplant of stopped heart	audio_corrected_synt vs. audio_metadata_synt	metadata
heart transplant of stopped heart	audio_corrected_synt vs. audio_metadata_synt	metadata
heart transplant of stopped heart	audio_corrected_synt vs. audio_metadata_synt	metadata
heart transplant of stopped heart	audio_corrected_synt vs. audio_metadata_synt	No preference
heart transplant of stopped heart	audio_corrected_synt vs. audio_metadata_synt	corrected
heart transplant of stopped heart	audio_corrected_synt vs. audio_metadata_synt	metadata
heart transplant of stopped heart	audio_corrected_synt vs. audio_metadata_synt	metadata
heart transplant of stopped heart	audio_corrected_synt vs. audio_metadata_synt	metadata
heart transplant of stopped heart	audio_corrected_synt vs. audio_metadata_synt	metadata
ABS accepts recommendations	audio_corrected_synt vs. audio_metadata_synt	metadata
ABS accepts recommendations	audio_corrected_synt vs. audio_metadata_synt	metadata
ABS accepts recommendations	audio_corrected_synt vs. audio_metadata_synt	metadata
ABS accepts recommendations	audio_corrected_synt vs. audio_metadata_synt	metadata
ABS accepts recommendations	audio_corrected_synt vs. audio_metadata_synt	metadata
ABS accepts recommendations	audio_corrected_synt vs. audio_metadata_synt	metadata
ABS accepts recommendations	audio_corrected_synt vs. audio_metadata_synt	metadata
interest rate cuts	audio_corrected_synt vs. audio_metadata_synt	corrected
interest rate cuts	audio_corrected_synt vs. audio_metadata_synt	corrected
interest rate cuts	audio_corrected_synt vs. audio_metadata_synt	corrected
interest rate cuts	audio_corrected_synt vs. audio_metadata_synt	No preference
interest rate cuts	audio_corrected_synt vs. audio_metadata_synt	corrected
interest rate cuts	audio_corrected_synt vs. audio_metadata_synt	corrected
labour plan to build submarines in australia	audio_corrected_synt vs. audio_metadata_synt	No preference
labour plan to build submarines in australia	audio_corrected_synt vs. audio_metadata_synt	corrected
labour plan to build submarines in australia	audio_corrected_synt vs. audio_metadata_synt	No preference
labour plan to build submarines in australia	audio_corrected_synt vs. audio_metadata_synt	corrected
labour plan to build submarines in australia	audio_corrected_synt vs. audio_metadata_synt	No preference
labour plan to build submarines in australia	audio_corrected_synt vs. audio_metadata_synt	No preference
labour plan to build submarines in australia	audio_corrected_synt vs. audio_metadata_synt	metadata
labour plan to build submarines in australia	audio_corrected_synt vs. audio_metadata_synt	corrected
labour plan to build submarines in australia	audio_corrected_synt vs. audio_metadata_synt	corrected
labour plan to build submarines in australia	audio_corrected_synt vs. audio_metadata_synt	corrected
nanomaterials excluded in food standards	audio_corrected_synt vs. audio_metadata_synt	corrected
nanomaterials excluded in food standards	audio_corrected_synt vs. audio_metadata_synt	corrected
nanomaterials excluded in food standards	audio_corrected_synt vs. audio_metadata_synt	corrected
nanomaterials excluded in food standards	audio_corrected_synt vs. audio_metadata_synt	corrected
nanomaterials excluded in food standards	audio_corrected_synt vs. audio_metadata_synt	corrected
nanomaterials excluded in food standards	audio_corrected_synt vs. audio_metadata_synt	No preference
nanomaterials excluded in food standards	audio_corrected_synt vs. audio_metadata_synt	corrected
nanomaterials excluded in food standards	audio_corrected_synt vs. audio_metadata_synt	metadata
nanomaterials excluded in food standards	audio_corrected_synt vs. audio_metadata_synt	corrected
nanomaterials excluded in food standards	audio_corrected_synt vs. audio_metadata_synt	corrected
nanomaterials excluded in food standards	audio_corrected_synt vs. audio_metadata_synt	No preference
nanomaterials excluded in food standards	audio_corrected_synt vs. audio_metadata_synt	corrected
nanomaterials excluded in food standards	audio_corrected_synt vs. audio_metadata_synt	corrected
nanomaterials excluded in food standards	audio_corrected_synt vs. audio_metadata_synt	corrected
nanomaterials excluded in food standards	audio_corrected_synt vs. audio_metadata_synt	corrected
financial dealing of west australian minister	audio_corrected_synt vs. audio_metadata_synt	corrected
financial dealing of west australian minister	audio_corrected_synt vs. audio_metadata_synt	corrected
financial dealing of west australian minister	audio_corrected_synt vs. audio_metadata_synt	metadata
financial dealing of west australian minister	audio_corrected_synt vs. audio_metadata_synt	metadata
financial dealing of west australian minister	audio_corrected_synt vs. audio_metadata_synt	metadata
financial dealing of west australian minister	audio_corrected_synt vs. audio_metadata_synt	metadata
financial dealing of west australian minister	audio_corrected_synt vs. audio_metadata_synt	corrected
bangkok bombing	audio_corrected_synt vs. audio_metadata_synt	metadata
bangkok bombing	audio_corrected_synt vs. audio_metadata_synt	corrected
bangkok bombing	audio_corrected_synt vs. audio_metadata_synt	corrected
bangkok bombing	audio_corrected_synt vs. audio_metadata_synt	No preference
bangkok bombing	audio_corrected_synt vs. audio_metadata_synt	corrected
bangkok bombing	audio_corrected_synt vs. audio_metadata_synt	corrected
bangkok bombing	audio_corrected_synt vs. audio_metadata_synt	corrected
northern territory chief minister dumped	audio_corrected_synt vs. audio_metadata_synt	corrected
northern territory chief minister dumped	audio_corrected_synt vs. audio_metadata_synt	corrected
northern territory chief minister dumped	audio_corrected_synt vs. audio_metadata_synt	No preference
northern territory chief minister dumped	audio_corrected_synt vs. audio_metadata_synt	corrected
northern territory chief minister dumped	audio_corrected_synt vs. audio_metadata_synt	corrected
northern territory chief minister dumped	audio_corrected_synt vs. audio_metadata_synt	corrected
northern territory chief minister dumped	audio_corrected_synt vs. audio_metadata_synt	No preference
northern territory chief minister dumped	audio_corrected_synt vs. audio_metadata_synt	metadata
hospital bed shortage adelaide	audio_corrected_synt vs. audio_metadata_synt	metadata
hospital bed shortage adelaide	audio_corrected_synt vs. audio_metadata_synt	corrected
hospital bed shortage adelaide	audio_corrected_synt vs. audio_metadata_synt	corrected
hospital bed shortage adelaide	audio_corrected_synt vs. audio_metadata_synt	No preference
hospital bed shortage adelaide	audio_corrected_synt vs. audio_metadata_synt	corrected
hospital bed shortage adelaide	audio_corrected_synt vs. audio_metadata_synt	metadata
hospital bed shortage adelaide	audio_corrected_synt vs. audio_metadata_synt	metadata
hospital bed shortage adelaide	audio_corrected_synt vs. audio_metadata_synt	No preference
hospital bed shortage adelaide	audio_corrected_synt vs. audio_metadata_synt	metadata
adelaide fringe festival	audio_corrected_synt vs. audio_metadata_synt	metadata
adelaide fringe festival	audio_corrected_synt vs. audio_metadata_synt	No preference
adelaide fringe festival	audio_corrected_synt vs. audio_metadata_synt	corrected
adelaide fringe festival	audio_corrected_synt vs. audio_metadata_synt	metadata
adelaide fringe festival	audio_corrected_synt vs. audio_metadata_synt	corrected
adelaide fringe festival	audio_corrected_synt vs. audio_metadata_synt	corrected
US police shoot 12 year old boy toy gun	audio_corrected_synt vs. audio_metadata_synt	No preference
US police shoot 12 year old boy toy gun	audio_corrected_synt vs. audio_metadata_synt	corrected
US police shoot 12 year old boy toy gun	audio_corrected_synt vs. audio_metadata_synt	metadata
US police shoot 12 year old boy toy gun	audio_corrected_synt vs. audio_metadata_synt	corrected
US police shoot 12 year old boy toy gun	audio_corrected_synt vs. audio_metadata_synt	metadata
US police shoot 12 year old boy toy gun	audio_corrected_synt vs. audio_metadata_synt	corrected
US police shoot 12 year old boy toy gun	audio_corrected_synt vs. audio_metadata_synt	corrected
US police shoot 12 year old boy toy gun	audio_corrected_synt vs. audio_metadata_synt	corrected
US police shoot 12 year old boy toy gun	audio_corrected_synt vs. audio_metadata_synt	corrected
Clive James poetry new book voice Japanese Maple	audio_corrected_synt vs. audio_metadata_synt	metadata
Clive James poetry new book voice Japanese Maple	audio_corrected_synt vs. audio_metadata_synt	metadata
Clive James poetry new book voice Japanese Maple	audio_corrected_synt vs. audio_metadata_synt	metadata
Clive James poetry new book voice Japanese Maple	audio_corrected_synt vs. audio_metadata_synt	metadata
Clive James poetry new book voice Japanese Maple	audio_corrected_synt vs. audio_metadata_synt	metadata
Clive James poetry new book voice Japanese Maple	audio_corrected_synt vs. audio_metadata_synt	metadata
Clive James poetry new book voice Japanese Maple	audio_corrected_synt vs. audio_metadata_synt	metadata
royal commission Hutchins child abuse	audio_corrected_synt vs. audio_metadata_synt	corrected
royal commission Hutchins child abuse	audio_corrected_synt vs. audio_metadata_synt	corrected
royal commission Hutchins child abuse	audio_corrected_synt vs. audio_metadata_synt	corrected
royal commission Hutchins child abuse	audio_corrected_synt vs. audio_metadata_synt	corrected
royal commission Hutchins child abuse	audio_corrected_synt vs. audio_metadata_synt	metadata
royal commission Hutchins child abuse	audio_corrected_synt vs. audio_metadata_synt	corrected
royal commission Hutchins child abuse	audio_corrected_synt vs. audio_metadata_synt	corrected
royal commission Hutchins child abuse	audio_corrected_synt vs. audio_metadata_synt	No preference
royal commission Hutchins child abuse	audio_corrected_synt vs. audio_metadata_synt	corrected
royal commission Hutchins child abuse	audio_corrected_synt vs. audio_metadata_synt	metadata
pro-democracy protests Hong Kong	audio_corrected_synt vs. audio_metadata_synt	corrected
pro-democracy protests Hong Kong	audio_corrected_synt vs. audio_metadata_synt	metadata
pro-democracy protests Hong Kong	audio_corrected_synt vs. audio_metadata_synt	metadata
pro-democracy protests Hong Kong	audio_corrected_synt vs. audio_metadata_synt	metadata
pro-democracy protests Hong Kong	audio_corrected_synt vs. audio_metadata_synt	No preference
pro-democracy protests Hong Kong	audio_corrected_synt vs. audio_metadata_synt	metadata
pro-democracy protests Hong Kong	audio_corrected_synt vs. audio_metadata_synt	corrected
pro-democracy protests Hong Kong	audio_corrected_synt vs. audio_metadata_synt	metadata
pro-democracy protests Hong Kong	audio_corrected_synt vs. audio_metadata_synt	corrected
pro-democracy protests Hong Kong	audio_corrected_synt vs. audio_metadata_synt	corrected
royal commission Hutchins child abuse apology Anglican church	audio_corrected_synt vs. audio_metadata_synt	No preference
royal commission Hutchins child abuse apology Anglican church	audio_corrected_synt vs. audio_metadata_synt	metadata
royal commission Hutchins child abuse apology Anglican church	audio_corrected_synt vs. audio_metadata_synt	corrected
royal commission Hutchins child abuse apology Anglican church	audio_corrected_synt vs. audio_metadata_synt	corrected
royal commission Hutchins child abuse apology Anglican church	audio_corrected_synt vs. audio_metadata_synt	corrected
royal commission Hutchins child abuse apology Anglican church	audio_corrected_synt vs. audio_metadata_synt	corrected
royal commission Hutchins child abuse apology Anglican church	audio_corrected_synt vs. audio_metadata_synt	corrected
