query_terms	preference_comparison	preference_judgment
Inflamatory deseases university of queensland treatment breakthrough	text_auto vs. text_metadata	No preference
Inflamatory deseases university of queensland treatment breakthrough	text_auto vs. text_metadata	metadata
Inflamatory deseases university of queensland treatment breakthrough	text_auto vs. text_metadata	metadata
IS extremists Kobane US airstrikes	text_auto vs. text_metadata	metadata
IS extremists Kobane US airstrikes	text_auto vs. text_metadata	metadata
IS extremists Kobane US airstrikes	text_auto vs. text_metadata	metadata
Jim Byrnes trade union commision	text_auto vs. text_metadata	No preference
Jim Byrnes trade union commision	text_auto vs. text_metadata	corrected
Jim Byrnes trade union commision	text_auto vs. text_metadata	metadata
Sex abuse New Sounth Wales ashram	text_auto vs. text_metadata	metadata
Sex abuse New Sounth Wales ashram	text_auto vs. text_metadata	metadata
Sex abuse New Sounth Wales ashram	text_auto vs. text_metadata	metadata
Tony Abbott offending indigenous people	text_auto vs. text_metadata	metadata
Tony Abbott offending indigenous people	text_auto vs. text_metadata	metadata
Tony Abbott offending indigenous people	text_auto vs. text_metadata	corrected
Dog show Crufts controversy	text_auto vs. text_metadata	metadata
Dog show Crufts controversy	text_auto vs. text_metadata	metadata
Dog show Crufts controversy	text_auto vs. text_metadata	metadata
Black Saturday AusNet payout	text_auto vs. text_metadata	metadata
Black Saturday AusNet payout	text_auto vs. text_metadata	metadata
Black Saturday AusNet payout	text_auto vs. text_metadata	metadata
Germanwings Andreas Lubitz	text_auto vs. text_metadata	No preference
Germanwings Andreas Lubitz	text_auto vs. text_metadata	metadata
Germanwings Andreas Lubitz	text_auto vs. text_metadata	metadata
heart transplant of stopped heart	text_auto vs. text_metadata	metadata
heart transplant of stopped heart	text_auto vs. text_metadata	metadata
heart transplant of stopped heart	text_auto vs. text_metadata	No preference
ABS accepts recommendations	text_auto vs. text_metadata	No preference
ABS accepts recommendations	text_auto vs. text_metadata	metadata
ABS accepts recommendations	text_auto vs. text_metadata	metadata
interest rate cuts	text_auto vs. text_metadata	metadata
interest rate cuts	text_auto vs. text_metadata	metadata
interest rate cuts	text_auto vs. text_metadata	metadata
labour plan to build submarines in australia	text_auto vs. text_metadata	metadata
labour plan to build submarines in australia	text_auto vs. text_metadata	metadata
labour plan to build submarines in australia	text_auto vs. text_metadata	metadata
nanomaterials excluded in food standards	text_auto vs. text_metadata	metadata
nanomaterials excluded in food standards	text_auto vs. text_metadata	metadata
nanomaterials excluded in food standards	text_auto vs. text_metadata	metadata
financial dealing of west australian minister	text_auto vs. text_metadata	metadata
financial dealing of west australian minister	text_auto vs. text_metadata	metadata
financial dealing of west australian minister	text_auto vs. text_metadata	metadata
bangkok bombing	text_auto vs. text_metadata	corrected
bangkok bombing	text_auto vs. text_metadata	corrected
bangkok bombing	text_auto vs. text_metadata	metadata
northern territory chief minister dumped	text_auto vs. text_metadata	metadata
northern territory chief minister dumped	text_auto vs. text_metadata	metadata
northern territory chief minister dumped	text_auto vs. text_metadata	metadata
hospital bed shortage adelaide	text_auto vs. text_metadata	corrected
hospital bed shortage adelaide	text_auto vs. text_metadata	metadata
hospital bed shortage adelaide	text_auto vs. text_metadata	No preference
adelaide fringe festival	text_auto vs. text_metadata	No preference
adelaide fringe festival	text_auto vs. text_metadata	corrected
adelaide fringe festival	text_auto vs. text_metadata	metadata
US police shoot 12 year old boy toy gun	text_auto vs. text_metadata	metadata
US police shoot 12 year old boy toy gun	text_auto vs. text_metadata	metadata
US police shoot 12 year old boy toy gun	text_auto vs. text_metadata	metadata
Clive James poetry new book voice Japanese Maple	text_auto vs. text_metadata	metadata
Clive James poetry new book voice Japanese Maple	text_auto vs. text_metadata	metadata
Clive James poetry new book voice Japanese Maple	text_auto vs. text_metadata	metadata
royal commission Hutchins child abuse	text_auto vs. text_metadata	metadata
royal commission Hutchins child abuse	text_auto vs. text_metadata	metadata
royal commission Hutchins child abuse	text_auto vs. text_metadata	metadata
pro-democracy protests Hong Kong	text_auto vs. text_metadata	corrected
pro-democracy protests Hong Kong	text_auto vs. text_metadata	metadata
pro-democracy protests Hong Kong	text_auto vs. text_metadata	corrected
royal commission Hutchins child abuse apology Anglican church	text_auto vs. text_metadata	metadata
royal commission Hutchins child abuse apology Anglican church	text_auto vs. text_metadata	metadata
royal commission Hutchins child abuse apology Anglican church	text_auto vs. text_metadata	metadata
Kim Jong-un 69th anniversary of the ruling Workers' Party	text_auto vs. text_metadata	No preference
Kim Jong-un 69th anniversary of the ruling Workers' Party	text_auto vs. text_metadata	metadata
Kim Jong-un 69th anniversary of the ruling Workers' Party	text_auto vs. text_metadata	metadata
Israel Palastine tension worship at Al Asqa Jordan diplomat	text_auto vs. text_metadata	No preference
Israel Palastine tension worship at Al Asqa Jordan diplomat	text_auto vs. text_metadata	metadata
Israel Palastine tension worship at Al Asqa Jordan diplomat	text_auto vs. text_metadata	No preference
protest vote against gold company executive pay	text_auto vs. text_metadata	No preference
protest vote against gold company executive pay	text_auto vs. text_metadata	metadata
protest vote against gold company executive pay	text_auto vs. text_metadata	metadata
trade union royal commission report released Gillard CFMEU	text_auto vs. text_metadata	metadata
trade union royal commission report released Gillard CFMEU	text_auto vs. text_metadata	metadata
trade union royal commission report released Gillard CFMEU	text_auto vs. text_metadata	metadata
