query_terms	preference_comparison	preference_judgment
Jim Byrnes trade union commision	audio_auto vs audio_metadata	metadata
Jim Byrnes trade union commision	audio_auto vs audio_metadata	automatic
Jim Byrnes trade union commision	audio_auto vs audio_metadata	metadata
Jim Byrnes trade union commision	audio_auto vs audio_metadata	metadata
Sex abuse New Sounth Wales ashram	audio_auto vs audio_metadata	automatic
Sex abuse New Sounth Wales ashram	audio_auto vs audio_metadata	automatic
Sex abuse New Sounth Wales ashram	audio_auto vs audio_metadata	No preference
Sex abuse New Sounth Wales ashram	audio_auto vs audio_metadata	automatic
Sex abuse New Sounth Wales ashram	audio_auto vs audio_metadata	automatic
Sex abuse New Sounth Wales ashram	audio_auto vs audio_metadata	automatic
Sex abuse New Sounth Wales ashram	audio_auto vs audio_metadata	automatic
Tony Abbott offending indigenous people	audio_auto vs audio_metadata	automatic
Tony Abbott offending indigenous people	audio_auto vs audio_metadata	automatic
Tony Abbott offending indigenous people	audio_auto vs audio_metadata	automatic
Tony Abbott offending indigenous people	audio_auto vs audio_metadata	automatic
Tony Abbott offending indigenous people	audio_auto vs audio_metadata	automatic
Tony Abbott offending indigenous people	audio_auto vs audio_metadata	automatic
Tony Abbott offending indigenous people	audio_auto vs audio_metadata	automatic
Dog show Crufts controversy	audio_auto vs audio_metadata	automatic
Dog show Crufts controversy	audio_auto vs audio_metadata	metadata
Dog show Crufts controversy	audio_auto vs audio_metadata	metadata
Dog show Crufts controversy	audio_auto vs audio_metadata	automatic
Dog show Crufts controversy	audio_auto vs audio_metadata	metadata
Dog show Crufts controversy	audio_auto vs audio_metadata	metadata
Dog show Crufts controversy	audio_auto vs audio_metadata	automatic
Black Saturday AusNet payout	audio_auto vs audio_metadata	automatic
Black Saturday AusNet payout	audio_auto vs audio_metadata	automatic
Black Saturday AusNet payout	audio_auto vs audio_metadata	automatic
Black Saturday AusNet payout	audio_auto vs audio_metadata	automatic
Black Saturday AusNet payout	audio_auto vs audio_metadata	metadata
Black Saturday AusNet payout	audio_auto vs audio_metadata	automatic
Black Saturday AusNet payout	audio_auto vs audio_metadata	automatic
Germanwings Andreas Lubitz	audio_auto vs audio_metadata	automatic
Germanwings Andreas Lubitz	audio_auto vs audio_metadata	No preference
Germanwings Andreas Lubitz	audio_auto vs audio_metadata	automatic
Germanwings Andreas Lubitz	audio_auto vs audio_metadata	No preference
heart transplant of stopped heart	audio_auto vs audio_metadata	No preference
heart transplant of stopped heart	audio_auto vs audio_metadata	automatic
heart transplant of stopped heart	audio_auto vs audio_metadata	metadata
heart transplant of stopped heart	audio_auto vs audio_metadata	automatic
heart transplant of stopped heart	audio_auto vs audio_metadata	metadata
heart transplant of stopped heart	audio_auto vs audio_metadata	metadata
heart transplant of stopped heart	audio_auto vs audio_metadata	metadata
ABS accepts recommendations	audio_auto vs audio_metadata	automatic
ABS accepts recommendations	audio_auto vs audio_metadata	automatic
ABS accepts recommendations	audio_auto vs audio_metadata	No preference
ABS accepts recommendations	audio_auto vs audio_metadata	automatic
ABS accepts recommendations	audio_auto vs audio_metadata	automatic
interest rate cuts	audio_auto vs audio_metadata	automatic
interest rate cuts	audio_auto vs audio_metadata	automatic
interest rate cuts	audio_auto vs audio_metadata	automatic
interest rate cuts	audio_auto vs audio_metadata	automatic
interest rate cuts	audio_auto vs audio_metadata	automatic
labour plan to build submarines in australia	audio_auto vs audio_metadata	automatic
labour plan to build submarines in australia	audio_auto vs audio_metadata	automatic
labour plan to build submarines in australia	audio_auto vs audio_metadata	No preference
labour plan to build submarines in australia	audio_auto vs audio_metadata	automatic
labour plan to build submarines in australia	audio_auto vs audio_metadata	automatic
nanomaterials excluded in food standards	audio_auto vs audio_metadata	metadata
nanomaterials excluded in food standards	audio_auto vs audio_metadata	automatic
nanomaterials excluded in food standards	audio_auto vs audio_metadata	automatic
nanomaterials excluded in food standards	audio_auto vs audio_metadata	automatic
nanomaterials excluded in food standards	audio_auto vs audio_metadata	automatic
nanomaterials excluded in food standards	audio_auto vs audio_metadata	automatic
financial dealing of west australian minister	audio_auto vs audio_metadata	metadata
financial dealing of west australian minister	audio_auto vs audio_metadata	metadata
financial dealing of west australian minister	audio_auto vs audio_metadata	No preference
financial dealing of west australian minister	audio_auto vs audio_metadata	automatic
financial dealing of west australian minister	audio_auto vs audio_metadata	metadata
financial dealing of west australian minister	audio_auto vs audio_metadata	metadata
financial dealing of west australian minister	audio_auto vs audio_metadata	metadata
bangkok bombing	audio_auto vs audio_metadata	automatic
bangkok bombing	audio_auto vs audio_metadata	automatic
bangkok bombing	audio_auto vs audio_metadata	automatic
bangkok bombing	audio_auto vs audio_metadata	automatic
bangkok bombing	audio_auto vs audio_metadata	automatic
bangkok bombing	audio_auto vs audio_metadata	automatic
northern territory chief minister dumped	audio_auto vs audio_metadata	automatic
northern territory chief minister dumped	audio_auto vs audio_metadata	automatic
northern territory chief minister dumped	audio_auto vs audio_metadata	automatic
northern territory chief minister dumped	audio_auto vs audio_metadata	automatic
hospital bed shortage adelaide	audio_auto vs audio_metadata	automatic
hospital bed shortage adelaide	audio_auto vs audio_metadata	automatic
hospital bed shortage adelaide	audio_auto vs audio_metadata	automatic
hospital bed shortage adelaide	audio_auto vs audio_metadata	automatic
hospital bed shortage adelaide	audio_auto vs audio_metadata	No preference
adelaide fringe festival	audio_auto vs audio_metadata	automatic
adelaide fringe festival	audio_auto vs audio_metadata	No preference
adelaide fringe festival	audio_auto vs audio_metadata	automatic
adelaide fringe festival	audio_auto vs audio_metadata	automatic
US police shoot 12 year old boy toy gun	audio_auto vs audio_metadata	automatic
US police shoot 12 year old boy toy gun	audio_auto vs audio_metadata	automatic
US police shoot 12 year old boy toy gun	audio_auto vs audio_metadata	automatic
US police shoot 12 year old boy toy gun	audio_auto vs audio_metadata	automatic
Clive James poetry new book voice Japanese Maple	audio_auto vs audio_metadata	metadata
Clive James poetry new book voice Japanese Maple	audio_auto vs audio_metadata	metadata
Clive James poetry new book voice Japanese Maple	audio_auto vs audio_metadata	metadata
royal commission Hutchins child abuse	audio_auto vs audio_metadata	metadata
royal commission Hutchins child abuse	audio_auto vs audio_metadata	automatic
royal commission Hutchins child abuse	audio_auto vs audio_metadata	automatic
royal commission Hutchins child abuse	audio_auto vs audio_metadata	automatic
royal commission Hutchins child abuse	audio_auto vs audio_metadata	automatic
royal commission Hutchins child abuse	audio_auto vs audio_metadata	metadata
royal commission Hutchins child abuse	audio_auto vs audio_metadata	automatic
royal commission Hutchins child abuse	audio_auto vs audio_metadata	automatic
pro-democracy protests Hong Kong	audio_auto vs audio_metadata	automatic
pro-democracy protests Hong Kong	audio_auto vs audio_metadata	metadata
pro-democracy protests Hong Kong	audio_auto vs audio_metadata	metadata
pro-democracy protests Hong Kong	audio_auto vs audio_metadata	automatic
pro-democracy protests Hong Kong	audio_auto vs audio_metadata	No preference
royal commission Hutchins child abuse apology Anglican church	audio_auto vs audio_metadata	automatic
royal commission Hutchins child abuse apology Anglican church	audio_auto vs audio_metadata	automatic
royal commission Hutchins child abuse apology Anglican church	audio_auto vs audio_metadata	automatic
Kim Jong-un 69th anniversary of the ruling Workers' Party	audio_auto vs audio_metadata	automatic
Kim Jong-un 69th anniversary of the ruling Workers' Party	audio_auto vs audio_metadata	automatic
Kim Jong-un 69th anniversary of the ruling Workers' Party	audio_auto vs audio_metadata	automatic
Kim Jong-un 69th anniversary of the ruling Workers' Party	audio_auto vs audio_metadata	automatic
Kim Jong-un 69th anniversary of the ruling Workers' Party	audio_auto vs audio_metadata	No preference
Kim Jong-un 69th anniversary of the ruling Workers' Party	audio_auto vs audio_metadata	automatic
Israel Palastine tension worship at Al Asqa Jordan diplomat	audio_auto vs audio_metadata	No preference
Israel Palastine tension worship at Al Asqa Jordan diplomat	audio_auto vs audio_metadata	metadata
Israel Palastine tension worship at Al Asqa Jordan diplomat	audio_auto vs audio_metadata	automatic
protest vote against gold company executive pay	audio_auto vs audio_metadata	No preference
protest vote against gold company executive pay	audio_auto vs audio_metadata	No preference
protest vote against gold company executive pay	audio_auto vs audio_metadata	automatic
protest vote against gold company executive pay	audio_auto vs audio_metadata	automatic
trade union royal commission report released Gillard CFMEU	audio_auto vs audio_metadata	metadata
trade union royal commission report released Gillard CFMEU	audio_auto vs audio_metadata	automatic
trade union royal commission report released Gillard CFMEU	audio_auto vs audio_metadata	automatic
trade union royal commission report released Gillard CFMEU	audio_auto vs audio_metadata	metadata
trade union royal commission report released Gillard CFMEU	audio_auto vs audio_metadata	metadata
trade union royal commission report released Gillard CFMEU	audio_auto vs audio_metadata	metadata
