query_terms	preference_comparison	preference_judgment
labour plan to build submarines in australia	text_corrected vs. text_metadata	corrected
labour plan to build submarines in australia	text_corrected vs. text_metadata	corrected
labour plan to build submarines in australia	text_corrected vs. text_metadata	corrected
labour plan to build submarines in australia	text_corrected vs. text_metadata	No preference
nanomaterials excluded in food standards	text_corrected vs. text_metadata	corrected
nanomaterials excluded in food standards	text_corrected vs. text_metadata	corrected
nanomaterials excluded in food standards	text_corrected vs. text_metadata	corrected
nanomaterials excluded in food standards	text_corrected vs. text_metadata	corrected
nanomaterials excluded in food standards	text_corrected vs. text_metadata	corrected
financial dealing of west australian minister	text_corrected vs. text_metadata	metadata
financial dealing of west australian minister	text_corrected vs. text_metadata	metadata
financial dealing of west australian minister	text_corrected vs. text_metadata	metadata
financial dealing of west australian minister	text_corrected vs. text_metadata	metadata
financial dealing of west australian minister	text_corrected vs. text_metadata	No preference
financial dealing of west australian minister	text_corrected vs. text_metadata	corrected
bangkok bombing	text_corrected vs. text_metadata	metadata
bangkok bombing	text_corrected vs. text_metadata	corrected
bangkok bombing	text_corrected vs. text_metadata	metadata
bangkok bombing	text_corrected vs. text_metadata	corrected
bangkok bombing	text_corrected vs. text_metadata	metadata
northern territory chief minister dumped	text_corrected vs. text_metadata	corrected
northern territory chief minister dumped	text_corrected vs. text_metadata	corrected
northern territory chief minister dumped	text_corrected vs. text_metadata	corrected
northern territory chief minister dumped	text_corrected vs. text_metadata	corrected
northern territory chief minister dumped	text_corrected vs. text_metadata	No preference
hospital bed shortage adelaide	text_corrected vs. text_metadata	corrected
hospital bed shortage adelaide	text_corrected vs. text_metadata	No preference
hospital bed shortage adelaide	text_corrected vs. text_metadata	metadata
hospital bed shortage adelaide	text_corrected vs. text_metadata	corrected
hospital bed shortage adelaide	text_corrected vs. text_metadata	corrected
hospital bed shortage adelaide	text_corrected vs. text_metadata	No preference
adelaide fringe festival	text_corrected vs. text_metadata	corrected
adelaide fringe festival	text_corrected vs. text_metadata	No preference
adelaide fringe festival	text_corrected vs. text_metadata	corrected
adelaide fringe festival	text_corrected vs. text_metadata	corrected
adelaide fringe festival	text_corrected vs. text_metadata	corrected
adelaide fringe festival	text_corrected vs. text_metadata	metadata
US police shoot 12 year old boy toy gun	text_corrected vs. text_metadata	corrected
US police shoot 12 year old boy toy gun	text_corrected vs. text_metadata	corrected
US police shoot 12 year old boy toy gun	text_corrected vs. text_metadata	corrected
US police shoot 12 year old boy toy gun	text_corrected vs. text_metadata	corrected
US police shoot 12 year old boy toy gun	text_corrected vs. text_metadata	corrected
Clive James poetry new book voice Japanese Maple	text_corrected vs. text_metadata	metadata
Clive James poetry new book voice Japanese Maple	text_corrected vs. text_metadata	metadata
Clive James poetry new book voice Japanese Maple	text_corrected vs. text_metadata	metadata
Clive James poetry new book voice Japanese Maple	text_corrected vs. text_metadata	metadata
Clive James poetry new book voice Japanese Maple	text_corrected vs. text_metadata	metadata
royal commission Hutchins child abuse	text_corrected vs. text_metadata	corrected
royal commission Hutchins child abuse	text_corrected vs. text_metadata	No preference
royal commission Hutchins child abuse	text_corrected vs. text_metadata	corrected
royal commission Hutchins child abuse	text_corrected vs. text_metadata	metadata
royal commission Hutchins child abuse	text_corrected vs. text_metadata	corrected
royal commission Hutchins child abuse	text_corrected vs. text_metadata	corrected
pro-democracy protests Hong Kong	text_corrected vs. text_metadata	corrected
pro-democracy protests Hong Kong	text_corrected vs. text_metadata	metadata
pro-democracy protests Hong Kong	text_corrected vs. text_metadata	corrected
pro-democracy protests Hong Kong	text_corrected vs. text_metadata	No preference
pro-democracy protests Hong Kong	text_corrected vs. text_metadata	metadata
royal commission Hutchins child abuse apology Anglican church	text_corrected vs. text_metadata	corrected
royal commission Hutchins child abuse apology Anglican church	text_corrected vs. text_metadata	corrected
royal commission Hutchins child abuse apology Anglican church	text_corrected vs. text_metadata	metadata
royal commission Hutchins child abuse apology Anglican church	text_corrected vs. text_metadata	corrected
royal commission Hutchins child abuse apology Anglican church	text_corrected vs. text_metadata	corrected
Kim Jong-un 69th anniversary of the ruling Workers' Party	text_corrected vs. text_metadata	metadata
Kim Jong-un 69th anniversary of the ruling Workers' Party	text_corrected vs. text_metadata	metadata
Kim Jong-un 69th anniversary of the ruling Workers' Party	text_corrected vs. text_metadata	metadata
Kim Jong-un 69th anniversary of the ruling Workers' Party	text_corrected vs. text_metadata	metadata
Kim Jong-un 69th anniversary of the ruling Workers' Party	text_corrected vs. text_metadata	metadata
Israel Palastine tension worship at Al Asqa Jordan diplomat	text_corrected vs. text_metadata	corrected
Israel Palastine tension worship at Al Asqa Jordan diplomat	text_corrected vs. text_metadata	corrected
Israel Palastine tension worship at Al Asqa Jordan diplomat	text_corrected vs. text_metadata	metadata
Israel Palastine tension worship at Al Asqa Jordan diplomat	text_corrected vs. text_metadata	corrected
Israel Palastine tension worship at Al Asqa Jordan diplomat	text_corrected vs. text_metadata	corrected
Israel Palastine tension worship at Al Asqa Jordan diplomat	text_corrected vs. text_metadata	corrected
protest vote against gold company executive pay	text_corrected vs. text_metadata	metadata
protest vote against gold company executive pay	text_corrected vs. text_metadata	metadata
protest vote against gold company executive pay	text_corrected vs. text_metadata	corrected
protest vote against gold company executive pay	text_corrected vs. text_metadata	metadata
protest vote against gold company executive pay	text_corrected vs. text_metadata	metadata
protest vote against gold company executive pay	text_corrected vs. text_metadata	No preference
trade union royal commission report released Gillard CFMEU	text_corrected vs. text_metadata	metadata
trade union royal commission report released Gillard CFMEU	text_corrected vs. text_metadata	metadata
trade union royal commission report released Gillard CFMEU	text_corrected vs. text_metadata	metadata
trade union royal commission report released Gillard CFMEU	text_corrected vs. text_metadata	metadata
trade union royal commission report released Gillard CFMEU	text_corrected vs. text_metadata	metadata
trade union royal commission report released Gillard CFMEU	text_corrected vs. text_metadata	metadata
