query_terms	preference_comparison	preference_judgment
Sex abuse New Sounth Wales ashram	audio_auto vs. audio_manual	No preference
Sex abuse New Sounth Wales ashram	audio_auto vs. audio_manual	No preference
Sex abuse New Sounth Wales ashram	audio_auto vs. audio_manual	No preference
Sex abuse New Sounth Wales ashram	audio_auto vs. audio_manual	automatic
Tony Abbott offending indigenous people	audio_auto vs. audio_manual	automatic
Tony Abbott offending indigenous people	audio_auto vs. audio_manual	automatic
Tony Abbott offending indigenous people	audio_auto vs. audio_manual	automatic
Tony Abbott offending indigenous people	audio_auto vs. audio_manual	automatic
Tony Abbott offending indigenous people	audio_auto vs. audio_manual	manual
Tony Abbott offending indigenous people	audio_auto vs. audio_manual	manual
Dog show Crufts controversy	audio_auto vs. audio_manual	automatic
Dog show Crufts controversy	audio_auto vs. audio_manual	manual
Dog show Crufts controversy	audio_auto vs. audio_manual	manual
Dog show Crufts controversy	audio_auto vs. audio_manual	automatic
Dog show Crufts controversy	audio_auto vs. audio_manual	automatic
Black Saturday AusNet payout	audio_auto vs. audio_manual	automatic
Black Saturday AusNet payout	audio_auto vs. audio_manual	No preference
Black Saturday AusNet payout	audio_auto vs. audio_manual	No preference
Germanwings Andreas Lubitz	audio_auto vs. audio_manual	manual
Germanwings Andreas Lubitz	audio_auto vs. audio_manual	automatic
Germanwings Andreas Lubitz	audio_auto vs. audio_manual	automatic
Germanwings Andreas Lubitz	audio_auto vs. audio_manual	automatic
Germanwings Andreas Lubitz	audio_auto vs. audio_manual	manual
heart transplant of stopped heart	audio_auto vs. audio_manual	manual
heart transplant of stopped heart	audio_auto vs. audio_manual	manual
heart transplant of stopped heart	audio_auto vs. audio_manual	manual
heart transplant of stopped heart	audio_auto vs. audio_manual	manual
heart transplant of stopped heart	audio_auto vs. audio_manual	manual
heart transplant of stopped heart	audio_auto vs. audio_manual	manual
heart transplant of stopped heart	audio_auto vs. audio_manual	manual
heart transplant of stopped heart	audio_auto vs. audio_manual	manual
ABS accepts recommendations	audio_auto vs. audio_manual	automatic
ABS accepts recommendations	audio_auto vs. audio_manual	automatic
ABS accepts recommendations	audio_auto vs. audio_manual	No preference
ABS accepts recommendations	audio_auto vs. audio_manual	automatic
interest rate cuts	audio_auto vs. audio_manual	No preference
interest rate cuts	audio_auto vs. audio_manual	No preference
interest rate cuts	audio_auto vs. audio_manual	automatic
interest rate cuts	audio_auto vs. audio_manual	automatic
interest rate cuts	audio_auto vs. audio_manual	No preference
interest rate cuts	audio_auto vs. audio_manual	No preference
labour plan to build submarines in australia	audio_auto vs. audio_manual	automatic
labour plan to build submarines in australia	audio_auto vs. audio_manual	automatic
labour plan to build submarines in australia	audio_auto vs. audio_manual	No preference
nanomaterials excluded in food standards	audio_auto vs. audio_manual	No preference
nanomaterials excluded in food standards	audio_auto vs. audio_manual	No preference
nanomaterials excluded in food standards	audio_auto vs. audio_manual	No preference
nanomaterials excluded in food standards	audio_auto vs. audio_manual	No preference
financial dealing of west australian minister	audio_auto vs. audio_manual	manual
financial dealing of west australian minister	audio_auto vs. audio_manual	manual
financial dealing of west australian minister	audio_auto vs. audio_manual	automatic
financial dealing of west australian minister	audio_auto vs. audio_manual	manual
financial dealing of west australian minister	audio_auto vs. audio_manual	manual
financial dealing of west australian minister	audio_auto vs. audio_manual	manual
financial dealing of west australian minister	audio_auto vs. audio_manual	manual
bangkok bombing	audio_auto vs. audio_manual	automatic
bangkok bombing	audio_auto vs. audio_manual	automatic
bangkok bombing	audio_auto vs. audio_manual	automatic
bangkok bombing	audio_auto vs. audio_manual	automatic
bangkok bombing	audio_auto vs. audio_manual	automatic
bangkok bombing	audio_auto vs. audio_manual	automatic
bangkok bombing	audio_auto vs. audio_manual	manual
bangkok bombing	audio_auto vs. audio_manual	automatic
northern territory chief minister dumped	audio_auto vs. audio_manual	No preference
northern territory chief minister dumped	audio_auto vs. audio_manual	No preference
northern territory chief minister dumped	audio_auto vs. audio_manual	No preference
northern territory chief minister dumped	audio_auto vs. audio_manual	No preference
northern territory chief minister dumped	audio_auto vs. audio_manual	No preference
hospital bed shortage adelaide	audio_auto vs. audio_manual	manual
hospital bed shortage adelaide	audio_auto vs. audio_manual	manual
hospital bed shortage adelaide	audio_auto vs. audio_manual	manual
hospital bed shortage adelaide	audio_auto vs. audio_manual	automatic
hospital bed shortage adelaide	audio_auto vs. audio_manual	manual
adelaide fringe festival	audio_auto vs. audio_manual	No preference
adelaide fringe festival	audio_auto vs. audio_manual	No preference
adelaide fringe festival	audio_auto vs. audio_manual	No preference
adelaide fringe festival	audio_auto vs. audio_manual	No preference
adelaide fringe festival	audio_auto vs. audio_manual	automatic
US police shoot 12 year old boy toy gun	audio_auto vs. audio_manual	manual
US police shoot 12 year old boy toy gun	audio_auto vs. audio_manual	manual
US police shoot 12 year old boy toy gun	audio_auto vs. audio_manual	manual
US police shoot 12 year old boy toy gun	audio_auto vs. audio_manual	manual
US police shoot 12 year old boy toy gun	audio_auto vs. audio_manual	manual
US police shoot 12 year old boy toy gun	audio_auto vs. audio_manual	manual
Clive James poetry new book voice Japanese Maple	audio_auto vs. audio_manual	automatic
Clive James poetry new book voice Japanese Maple	audio_auto vs. audio_manual	automatic
Clive James poetry new book voice Japanese Maple	audio_auto vs. audio_manual	automatic
Clive James poetry new book voice Japanese Maple	audio_auto vs. audio_manual	automatic
Clive James poetry new book voice Japanese Maple	audio_auto vs. audio_manual	No preference
Clive James poetry new book voice Japanese Maple	audio_auto vs. audio_manual	automatic
Clive James poetry new book voice Japanese Maple	audio_auto vs. audio_manual	automatic
Clive James poetry new book voice Japanese Maple	audio_auto vs. audio_manual	automatic
royal commission Hutchins child abuse	audio_auto vs. audio_manual	automatic
royal commission Hutchins child abuse	audio_auto vs. audio_manual	automatic
royal commission Hutchins child abuse	audio_auto vs. audio_manual	automatic
royal commission Hutchins child abuse	audio_auto vs. audio_manual	automatic
pro-democracy protests Hong Kong	audio_auto vs. audio_manual	automatic
pro-democracy protests Hong Kong	audio_auto vs. audio_manual	automatic
pro-democracy protests Hong Kong	audio_auto vs. audio_manual	automatic
royal commission Hutchins child abuse apology Anglican church	audio_auto vs. audio_manual	No preference
royal commission Hutchins child abuse apology Anglican church	audio_auto vs. audio_manual	No preference
royal commission Hutchins child abuse apology Anglican church	audio_auto vs. audio_manual	No preference
Kim Jong-un 69th anniversary of the ruling Workers' Party	audio_auto vs. audio_manual	No preference
Kim Jong-un 69th anniversary of the ruling Workers' Party	audio_auto vs. audio_manual	No preference
Kim Jong-un 69th anniversary of the ruling Workers' Party	audio_auto vs. audio_manual	No preference
Kim Jong-un 69th anniversary of the ruling Workers' Party	audio_auto vs. audio_manual	manual
Kim Jong-un 69th anniversary of the ruling Workers' Party	audio_auto vs. audio_manual	manual
Kim Jong-un 69th anniversary of the ruling Workers' Party	audio_auto vs. audio_manual	No preference
Israel Palastine tension worship at Al Asqa Jordan diplomat	audio_auto vs. audio_manual	manual
Israel Palastine tension worship at Al Asqa Jordan diplomat	audio_auto vs. audio_manual	manual
Israel Palastine tension worship at Al Asqa Jordan diplomat	audio_auto vs. audio_manual	manual
Israel Palastine tension worship at Al Asqa Jordan diplomat	audio_auto vs. audio_manual	manual
protest vote against gold company executive pay	audio_auto vs. audio_manual	automatic
protest vote against gold company executive pay	audio_auto vs. audio_manual	automatic
protest vote against gold company executive pay	audio_auto vs. audio_manual	automatic
protest vote against gold company executive pay	audio_auto vs. audio_manual	automatic
protest vote against gold company executive pay	audio_auto vs. audio_manual	automatic
trade union royal commission report released Gillard CFMEU	audio_auto vs. audio_manual	manual
trade union royal commission report released Gillard CFMEU	audio_auto vs. audio_manual	automatic
trade union royal commission report released Gillard CFMEU	audio_auto vs. audio_manual	automatic
trade union royal commission report released Gillard CFMEU	audio_auto vs. audio_manual	manual
