query_id	query	doc_id		filename	summary_type	summary	rank
1_1f3c8f2a57677551eadb2a62706e768a	Inflamatory deseases university of queensland treatment breakthrough	22f78bcb4675120a50ea7edf23bc77f		20141126-am06-soldiersaver	text_manual	Queensland scientists say they're on the brink of delivering a world-first treatment to save	3
1_1f3c8f2a57677551eadb2a62706e768a	Inflamatory deseases university of queensland treatment breakthrough	46d7f7c71b7b69231761251f905e7781		20150203-twt09breastcancer	text_manual	they're optimistic that this will offer a breakthrough in treatment options    Simon Santow has our report	4
1_1f3c8f2a57677551eadb2a62706e768a	Inflamatory deseases university of queensland treatment breakthrough	64396859ae0580d9218bdc487c9d9085		20141111-twt09-sarcomastudy	text_manual	Australian cancer researchers are uncovering the sinister secrets of sarcomas    While	5
1_1f3c8f2a57677551eadb2a62706e768a	Inflamatory deseases university of queensland treatment breakthrough	2b739bcc1aad5094324f6b38f05c0cfb		20150223-rnam06-strokeresearch	text_manual	victims from brain damage    They're hoping the breakthrough will reduce your risk of sustaining a serious	6
1_1f3c8f2a57677551eadb2a62706e768a	Inflamatory deseases university of queensland treatment breakthrough	e6eac228d679e95e8d7cf63f2de8e3db		20150325-pm05-ketaminclinic	text_manual	number and was told the ketamine treatment was researched by a University of Melbourne neuroscientist	7
1_1f3c8f2a57677551eadb2a62706e768a	Inflamatory deseases university of queensland treatment breakthrough	6827bc72f81ebc4308954f60073e435d		20141104-twt11-antiageing	text_manual	Professor Sinclair says the breakthroughs are being used to develop drugs that could restore	8
1_1f3c8f2a57677551eadb2a62706e768a	Inflamatory deseases university of queensland treatment breakthrough	45ec66b6510edacf5fbc1cfeea2bcc2f		20141024-twt04-cancertrials	text_manual	overseas take part in clinical trials to test new treatments  For many it represents a last hope    But some	9
1_1f3c8f2a57677551eadb2a62706e768a	Inflamatory deseases university of queensland treatment breakthrough	2265d9a818723967e4f6fe7fe8ece2d7		20150226-twt09-cancergenome	text_manual	Now to the medical breakthrough by Australian and British researchers who've mapped the	10
0_2ba16bc943e4fe8c05c2f1482f17e296	child sex abuse sydney school	9576426f6cc2f5c27705eedf92b1a895		20150212-pm06-roycommthurs	text_manual	about child sex abuse issues     Yes      Any report made of child sexual	1
0_2ba16bc943e4fe8c05c2f1482f17e296	child sex abuse sydney school	634142628a63309e9c2d0e4719446d10		20150226-twt08-schookidssafety	text_manual	that several independent schools have had in place to handle child sexual abuse    The Victorian Government	2
0_2ba16bc943e4fe8c05c2f1482f17e296	child sex abuse sydney school	ff5b12051ff7dbfef9bd9dc73fd27b4d		20141121-pm04-frihutchins	text_manual	to treat a sexual abuse survivor with dignity    Counsel assisting the child abuse royal commission suggested	3
0_2ba16bc943e4fe8c05c2f1482f17e296	child sex abuse sydney school	e132e3eaddf44c621f2423b2dbf52fa7		20150206-pm09-rcyeshivah	text_manual	of a school, an ordinary school, you had no knowledge at all of the issue of child sexual abuse, nor	4
0_2ba16bc943e4fe8c05c2f1482f17e296	child sex abuse sydney school	2ba16bc943e4fe8c05c2f1482f17e296		20150223-twt04-rcknoxgrammar	text_manual	The royal commission into child sex abuse has heard this morning that a group of teachers	5
0_2ba16bc943e4fe8c05c2f1482f17e296	child sex abuse sydney school	1a586a9991812e2e6d296774f4a27975		20150211-twt08-roycomcross	text_manual	Melbourne School    Cyprys is now in jail for the abuse of Mr Waks and eight other boys and this abuse largely	6
0_2ba16bc943e4fe8c05c2f1482f17e296	child sex abuse sydney school	64a46e63773fbe453cd8e6ab04dca690		20150203-pm09-rcyeshivatues	text_manual	jailed for the sexual abuse of a child    He was eventually charged with child sex offences in Victoria	7
0_2ba16bc943e4fe8c05c2f1482f17e296	child sex abuse sydney school	354fdc5240315ea682eeaf0829aefa60		20150226-twt07-hutchinsabuse	text_manual	counselling to former students affected by child sexual abuse    The school board has restated its apology to	8
0_2ba16bc943e4fe8c05c2f1482f17e296	child sex abuse sydney school	416557b316809d63b1dbd6c121a1fcec		20150202-am07-yeshivahrpl	text_manual	justice' in Hebrew, to advocate for victims of child sex abuse  Its president, lawyer Josh Bornstein, says	9
0_2ba16bc943e4fe8c05c2f1482f17e296	child sex abuse sydney school	8835020764dfe271dd4d3a2c809fc7e9		20150226-twt06-rcknoxthurs	text_manual	Knox Grammar School, he didn't think it was his role to inform police if a child was abused    Dr Timothy	10
1_2f21ea19d64dee2c5e77aa22673f9428	IS extremists Kobane US airstrikes	c6b446565d5e8b6121846784c8d12c51		20141008-twt02-shanahaniv	text_manual	fighters in the besieged town of Kobane say the US Coalition's airstrikes there in the last few hours do	1
1_2f21ea19d64dee2c5e77aa22673f9428	IS extremists Kobane US airstrikes	2f21ea19d64dee2c5e77aa22673f9428		20141008-eam03-kobanefight	text_manual	launched several more airstrikes on militants in the Syrian border town of Kobane    Kurdish fighters are	2
1_2f21ea19d64dee2c5e77aa22673f9428	IS extremists Kobane US airstrikes	b08cac521a04942210722dc71e0aee5c		20141008-pm05-kobaneturkey	text_manual	Two airstrikes south-west of Kobane damaged an ISIL tank, another airstrike south of Kobane destroyed	3
1_2f21ea19d64dee2c5e77aa22673f9428	IS extremists Kobane US airstrikes	53f3dce0fa6dc131687c942d23a12351		20141009-eam02-kobanekerry	text_manual	For days there have been sporadic airstrikes on IS fighters in Kobane but they haven't stopped the group	4
1_2f21ea19d64dee2c5e77aa22673f9428	IS extremists Kobane US airstrikes	c53d7b5a21869cf4b008981173b8f4fa		20141010-rnam02-kobane	text_manual	town of Kobane  The Kurdish fighters are battling to repel the attacks and more American airstrikes were	5
1_2f21ea19d64dee2c5e77aa22673f9428	IS extremists Kobane US airstrikes	f5de72dfddfb4087be9eb2a33bfba13e		20150217-rnam04-libyaegypt	text_manual	is held by a masked extremist  One of them delivers a bellicose message    And today, we are	6
1_2f21ea19d64dee2c5e77aa22673f9428	IS extremists Kobane US airstrikes	ede1964e9b965af1bde0b28c283fe040		20141011-am04-kobaneenvoy	text_manual	Islamic state militants in Kobane have reportedly extended their territory, taking	7
1_2f21ea19d64dee2c5e77aa22673f9428	IS extremists Kobane US airstrikes	256c40bc747cb2b64225d65e38706b8f		20141021-eam03-turkeyborder	text_manual	facilitating the passage of Peshmerga fighters to Kobane  Further talks are underway on this matter "	8
1_2f21ea19d64dee2c5e77aa22673f9428	IS extremists Kobane US airstrikes	e32194d49bb25bba6a11fab1a81b5edc		20141203-twt08-isiupdate	text_manual	THE United States believes coalition airstrikes have inflicted significant damage on Islamic	9
1_2f21ea19d64dee2c5e77aa22673f9428	IS extremists Kobane US airstrikes	e7658151a0468cbd28ff97e6f09960f		20141114-twt10-yaxleycross	text_manual	citizens if they have been fighting with Islamic extremists    Mr Abbott and David Cameron are as one on	10
2_3c90486a6cc8f8b523149fd3d9e88a13	labour plan to build submarines in australia	3c90486a6cc8f8b523149fd3d9e88a13		20150325-pm06-subsreax	text_manual	the Federal Government to build the next fleet of submarines in Australia    They've raised concerns	1
2_3c90486a6cc8f8b523149fd3d9e88a13	labour plan to build submarines in australia	c001344263e621a337d591d351455dbd		20150325-rnam03-pennywongiv	text_manual	present a plan it says will ensure submarines are built, maintained and sustained in Australia    Labor	2
2_3c90486a6cc8f8b523149fd3d9e88a13	labour plan to build submarines in australia	8811802cd2ba2a8432aaa9a9733762b7		20150325-am02-subssummit	text_manual	the country could work with Australia to build the next fleet of submarines locally, if it's economically	3
2_3c90486a6cc8f8b523149fd3d9e88a13	labour plan to build submarines in australia	9f7c2a5661428d1e6c8c01bda2769b89		20141024-am08-germansubmarines	text_manual	Building the next generation of submarines for Australia is a multi-billion dollar puzzle	4
2_3c90486a6cc8f8b523149fd3d9e88a13	labour plan to build submarines in australia	9324b046045dd4a81e4167de0dd3db34		20150210-pm03-subsconfusion	text_manual	basis  that is, presumably constructing and building the submarine in their countries of origin    So that	5
2_3c90486a6cc8f8b523149fd3d9e88a13	labour plan to build submarines in australia	c5e9443126f1fa524250dcfbdbf3f8df		20150325-twt06-subsplan	text_manual	the Australian Submarine Corporation and guarantee to build 12 submarines in Australia    So they go to	6
2_3c90486a6cc8f8b523149fd3d9e88a13	labour plan to build submarines in australia	f906ad0c03adb3fc7226ed33861546da		20141015-pm08-subrethink	text_manual	senators is urging it to look at building Australia's next generation of submarines locally    There has been	7
2_3c90486a6cc8f8b523149fd3d9e88a13	labour plan to build submarines in australia	fd16d9f726395c60b729970d7efb6127		20150327-pm10-subspromise	text_manual	of a secret deal to have Japan build Australia's next fleet of submarines    Tony Abbott has given an assurance	8
2_3c90486a6cc8f8b523149fd3d9e88a13	labour plan to build submarines in australia	7eed5382b7e89edae73db5109b752874		20150217-pm02-emotivesubs	text_manual	it your position that we shouldn't build submarines in Australia?" And he said, "No "   He said, "I'm	9
2_3c90486a6cc8f8b523149fd3d9e88a13	labour plan to build submarines in australia	f581103f503c74f03de92b492d2c52d7		20141209-rnpm02-navalbuilds	text_manual	whether Australia can support the industry in the future - including the next submarine build    The defence	10
0_3e69b4a6bff5831acd32e4df4bc832f8	Renewable Energy Target	3e69b4a6bff5831acd32e4df4bc832f8		20150305-twt07-greghunt	text_manual	exclusively through the Renewable Energy Target  So the way the Renewable Energy Target works for the listeners	1
0_3e69b4a6bff5831acd32e4df4bc832f8	Renewable Energy Target	e65198fd85e6e8c86a773697720461e6		20141112-eam01-retimpasse	text_manual	ns with the Government on Australia's renewable energy target    The Coalition said it wanted to reach	2
0_3e69b4a6bff5831acd32e4df4bc832f8	Renewable Energy Target	c1e72443002e643549068fcabc793a04		20150325-pm04-retprogress	text_manual	The Clean Energy Council's offered a compromise on Australia's renewable energy target    The Council's	3
0_3e69b4a6bff5831acd32e4df4bc832f8	Renewable Energy Target	6ff6e3cc44cecde6106529e95b5f060e		20142022-pm01-rettalks	text_manual	revealed that it intends to scale back the renewable energy target (RET)    The existing legislation stipulates	4
0_3e69b4a6bff5831acd32e4df4bc832f8	Renewable Energy Target	8fe1253dd43d8549a730579b7a3193eb		20141212-pm05-hydroret	text_manual	An energy company has blamed uncertainty over Australia's renewable energy target for its decision	5
0_3e69b4a6bff5831acd32e4df4bc832f8	Renewable Energy Target	16d8e5939ccf6a787ef08276a1b82151		20141202-twt09-solarfarm	text_manual	countries worldwide have some sort of renewable energy target    Here in Australia the debate on the	6
0_3e69b4a6bff5831acd32e4df4bc832f8	Renewable Energy Target	6a4717acce005c8f2b97ac9ed2ab66ef		20150224-twt10-cheapsolar	text_manual	German government achieve its 80 per cent renewable energy target    Its CEO Dr Patrick Graichen spoke earlier	7
0_3e69b4a6bff5831acd32e4df4bc832f8	Renewable Energy Target	51f25b6fadf0e8ce964a15b694121025		20141112-twt03-retreax	text_manual	The renewable energy target has traditionally been referred to in percentages  The current target is for	8
0_3e69b4a6bff5831acd32e4df4bc832f8	Renewable Energy Target	e6efe2e5f276b43ce346b08ddd68d3e7		20150309-twt11-retreax	text_manual	says it hopes to reach a deal on the Renewable Energy Target by Easter    Several companies have shelved	9
0_3e69b4a6bff5831acd32e4df4bc832f8	Renewable Energy Target	546272d1231fc8b35a65e0613c21f1b3		20150305-pm07-rettalks	text_manual	A deal on the renewable energy target may be getting nearer but it seems there are still	10
1_3e6468dbb1bbf5e22f90212239645c57	Sex abuse New Sounth Wales ashram	3e6468dbb1bbf5e22f90212239645c57		20141203-pm07-yogasisters	text_manual	sexual abuse and brutal physical violence that they suffered at a remote New South Wales yoga ashram in the	11
1_3e6468dbb1bbf5e22f90212239645c57	Sex abuse New Sounth Wales ashram	7e622823920517beb958f2b23f5c4b59		20141208-twt06-yogaconsent	text_manual	about her time at the yoga ashram in New South Wales where girls were abused by the commune's spiritual	12
1_3e6468dbb1bbf5e22f90212239645c57	Sex abuse New Sounth Wales ashram	e132e3eaddf44c621f2423b2dbf52fa7		20150206-pm09-rcyeshivah	text_manual	seriousness  I really didn't know much about sex abuse at all  The whole thing came as a surprise to	13
1_3e6468dbb1bbf5e22f90212239645c57	Sex abuse New Sounth Wales ashram	c5f92a6e32e73b8ec9bde7807715b1ef		20150318-pm03-fosterwednesday	text_manual	of victims criticised the New South Wales Government over an abuse case that's currently before the courts	14
1_3e6468dbb1bbf5e22f90212239645c57	Sex abuse New Sounth Wales ashram	223026c9fa8c1e5ce6d891c9413ccdb6		20141202-twt04-rcyogadayone	text_manual	a yoga ashram in the hinterland of the New South Wales Central Coast    The inquiry is framing an in	15
1_3e6468dbb1bbf5e22f90212239645c57	Sex abuse New Sounth Wales ashram	3ec4c17922a9c90150e57ecd7cc86dae		20141022-twt06-royalbethcar	text_manual	of New South Wales made a statement to the inquiry  They've issued an apology for the abuse that occurred	16
1_3e6468dbb1bbf5e22f90212239645c57	Sex abuse New Sounth Wales ashram	8ba11a154ea14b78f78b0e548b37d68b		20141007-rnam03-hillsong	text_manual	The Child Abuse Royal Commission will today open a public inquiry into how a high-profile	17
1_3e6468dbb1bbf5e22f90212239645c57	Sex abuse New Sounth Wales ashram	d7a11bc64c457303acce0b82d34c4c02		20141126-pm03-royalcommision	text_manual	and in some instances it seriously mismanaged sex abuse reports    And the taskforce says a royal commission	18
1_3e6468dbb1bbf5e22f90212239645c57	Sex abuse New Sounth Wales ashram	64a46e63773fbe453cd8e6ab04dca690		20150203-pm09-rcyeshivatues	text_manual	The father of a child sex abuse victim has told the Royal Commission the ultra-orthodox	19
1_3e6468dbb1bbf5e22f90212239645c57	Sex abuse New Sounth Wales ashram	264467cf622315ee96e4b79e57c6914b		20150204-pm07-rcyeshivahwed	text_manual	A victim of child sex abuse at the ultra-orthodox Jewish Yeshiva Centre in Bondi has told	20
2_3ee5e8e7bc0f4c2631167f35a8f7d170	nanomaterials excluded in food standards	3ee5e8e7bc0f4c2631167f35a8f7d170		20141125-eam03-nanofoodpackaging	text_manual	The peak food standards body is under fire for excluding nanomaterials from its investigation	1
2_3ee5e8e7bc0f4c2631167f35a8f7d170	nanomaterials excluded in food standards	89c80d00bde87589aaa41c37f5eac59b		20150220-twt09-chinafood	text_manual	require to produce foods     In China there are different standards for food exports and domestic	2
2_3ee5e8e7bc0f4c2631167f35a8f7d170	nanomaterials excluded in food standards	1cf2cd84cb896bd76c65cb8b5cdf5c93		20141128-rnam05-chickendisease	text_manual	plates but that may not be the case after a Food Standards Agency Report today  After media pressure,	3
2_3ee5e8e7bc0f4c2631167f35a8f7d170	nanomaterials excluded in food standards	3ae5a86d00c31934b710f220a3239e4d		20150302-twt04-supermarketcode	text_manual	The Australian Food and Grocery Council says the new code should create new standards of behaviour in	4
2_3ee5e8e7bc0f4c2631167f35a8f7d170	nanomaterials excluded in food standards	e6999f2887ffaf54a3421248dc015ef3		20150216-twt09-berrysick	text_manual	processed food from China to us     Is there a particular risk in China around food safety do	5
2_3ee5e8e7bc0f4c2631167f35a8f7d170	nanomaterials excluded in food standards	409864b4ac6422f9b238505eedc63e80		20150320-twt07-boardingstandards	text_manual	will need to meet national standards    Richard Stokes met with Standards Australia this week - the peak	6
2_3ee5e8e7bc0f4c2631167f35a8f7d170	nanomaterials excluded in food standards	c3ec597d9dfd2c3990b139349c1476c0		20150324-twt05-vanuatufood	text_manual	population needs immediate food assistance, and WFP is supporting the government's food distribution to all	7
2_3ee5e8e7bc0f4c2631167f35a8f7d170	nanomaterials excluded in food standards	265f713aadbd29914334c988d735fea5		20141202-pm08-lockedout	text_manual	suspended or excluded a student, so now it's much easier for principals to suspend or exclude  And also	8
2_3ee5e8e7bc0f4c2631167f35a8f7d170	nanomaterials excluded in food standards	daca0c2aca1c4cba7bcddc2d9fe71cd4		20150227-am06-transfatlabelling	text_manual	recommending exactly that has been rejected by Food Standards Australia New Zealand    Chief executive Steve	9
2_3ee5e8e7bc0f4c2631167f35a8f7d170	nanomaterials excluded in food standards	35405756024a27bc9ca613ee99749950		20141016-twt04-hungerreport	text_manual	need and then, you know, the long term food, the cans and packet food and there's also things like shampoos	10
3_4cdd91e175c06e0f6120020e018fe1c9	royal commission Hutchins child abuse	db8f6b102cf957f837e38bb4c3558		20141119-twt03-wedshutchins	text_manual	The child abuse royal commission has begun hearings into allegations of abuse at one of Tasmania's	1
3_4cdd91e175c06e0f6120020e018fe1c9	royal commission Hutchins child abuse	f8f8fdb1e47541b15c14e56d01f7a2fd		20141218-twt09-hutchinsbraveheart	text_manual	The Royal Commission into Child Sexual Abuse won't be hearing from a former alleged paedophile	2
3_4cdd91e175c06e0f6120020e018fe1c9	royal commission Hutchins child abuse	42299a1553c3580b77ff66e8ee0ae384		20141125-pm07-tueshutchins	text_manual	The child abuse Royal Commission has spent the best part of a week of hearings examining an abuse survivor's	3
3_4cdd91e175c06e0f6120020e018fe1c9	royal commission Hutchins child abuse	5c1368672a6fb71c7b3b9cb834283e0f		20141124-pm06-mondayhutchins	text_manual	expressed his disappointment at the child abuse Royal Commission about one of the state's most prestigious	4
3_4cdd91e175c06e0f6120020e018fe1c9	royal commission Hutchins child abuse	4cdd91e175c06e0f6120020e018fe1c9		20141119-pm07-wedsrc	text_manual	The royal commission heard from four men aged in their 50s and 60s  They all said they were abused by	5
3_4cdd91e175c06e0f6120020e018fe1c9	royal commission Hutchins child abuse	ff5b12051ff7dbfef9bd9dc73fd27b4d		20141121-pm04-frihutchins	text_manual	a sexual abuse survivor with dignity    Counsel assisting the child abuse royal commission suggested	6
3_4cdd91e175c06e0f6120020e018fe1c9	royal commission Hutchins child abuse	354fdc5240315ea682eeaf0829aefa60		20150226-twt07-hutchinsabuse	text_manual	for the allegations made at the royal commission into child sexual abuse earlier about a former Tasmanian	7
3_4cdd91e175c06e0f6120020e018fe1c9	royal commission Hutchins child abuse	498907e378a592d1d2231739f870bb88		20141120-pm04-thurshutchins	text_manual	The child abuse royal commission has heard the headmaster at the school in the 1960s was one of a number	8
3_4cdd91e175c06e0f6120020e018fe1c9	royal commission Hutchins child abuse	2f6f521e4eecf2700a4b8926706a1d64		20141108-am05-rcvolkers	text_manual	to prosecute their client    The royal commission into child sex abuse is examining how the Queensland	9
3_4cdd91e175c06e0f6120020e018fe1c9	royal commission Hutchins child abuse	336fd0cf992d4a52fc3bfb46113abf0f		20150310-twt05-rcfosterabuse	text_manual	The royal commission into child sexual abuse is beginning a new public hearing today	10
3_4e07f7e70251876a3fe615d04eeae713	pro-democracy protests Hong Kong	62022fba315c2d7bf984d5047e32bf20		20141025-cr03-protestlife	text_manual	Lydia Sung three weeks ago when the pro-democracy protests in Hong Kong were in full swing  Supporter numbers	1
3_4e07f7e70251876a3fe615d04eeae713	pro-democracy protests Hong Kong	c93686c4b63dffa55359bce84cf43e3f		20141001-twt04-hkprotestors	text_manual	The number of pro-democracy protesters on the streets of Hong Kong has grown further today	2
3_4e07f7e70251876a3fe615d04eeae713	pro-democracy protests Hong Kong	df6cd188b00bd6aa2c7efc44aa0b80ac		20141013-twt06-hkmonday	text_manual	To Hong Kong now, where there are signs that Beijing is losing patience with the pro-democracy protesters	3
3_4e07f7e70251876a3fe615d04eeae713	pro-democracy protests Hong Kong	1f6f797f9a4d01c89eb310b789581ebd		20141003-pm07-HKACELIVE	text_manual	call pro-Beijing protesters have turned up to confront the pro-democracy protesters and they've had a	4
3_4e07f7e70251876a3fe615d04eeae713	pro-democracy protests Hong Kong	496b7899c6dd1ad55dc3608da724e145		20141001-twt05-lockehk	text_manual	what has raised the hackles of the pro-democracy people within Hong Kong      Given the stalemate	5
3_4e07f7e70251876a3fe615d04eeae713	pro-democracy protests Hong Kong	7a9f9f57d1114596e375fa32bfc99db1		20141006-twt05-HKclarke	text_manual	whether those remaining protesters are afraid that the government either in Hong Kong or perhaps more critically	6
3_4e07f7e70251876a3fe615d04eeae713	pro-democracy protests Hong Kong	ea9e492f882e0ed67d2e2249777f6982		20141006-pm08-hongkongmonday	text_manual	The protests in Hong Kong have now been going for more than a week-and-a-half, but today	7
3_4e07f7e70251876a3fe615d04eeae713	pro-democracy protests Hong Kong	d20a7657a61f0ad3ddacaecbf2ffcc16		20141005-cr02-hongkong	text_manual	It works for up to 70 metres  Pro-democracy protestors in Hong Kong had this as a backup in case authorities	8
3_4e07f7e70251876a3fe615d04eeae713	pro-democracy protests Hong Kong	ebca8d12659abac948a8e142353c24b6		20141201-twt06-honkongrepl	text_manual	Tensions in Hong Kong have escalated, with police clashing with thousands of pro-democracy protesters who were	9
3_4e07f7e70251876a3fe615d04eeae713	pro-democracy protests Hong Kong	4e07f7e70251876a3fe615d04eeae713		20141003-am06-hongkongfriday	text_manual	to hear      Totally frustrated and disappointed     2  Very di	10
3_5c1368672a6fb71c7b3b9cb834283e0f	royal commission Hutchins child abuse apology Anglican church	db8f6b102cf957f837e38bb4c3558		20141119-twt03-wedshutchins	text_manual	The child abuse royal commission has begun hearings into allegations of abuse at one of Tasmania's	1
3_5c1368672a6fb71c7b3b9cb834283e0f	royal commission Hutchins child abuse apology Anglican church	42299a1553c3580b77ff66e8ee0ae384		20141125-pm07-tueshutchins	text_manual	The child abuse Royal Commission has spent the best part of a week of hearings examining an abuse survivor's	2
3_5c1368672a6fb71c7b3b9cb834283e0f	royal commission Hutchins child abuse apology Anglican church	5c1368672a6fb71c7b3b9cb834283e0f		20141124-pm06-mondayhutchins	text_manual	Tasmania's Anglican bishop has expressed his disappointment at the child abuse Royal Commission about one	3
3_5c1368672a6fb71c7b3b9cb834283e0f	royal commission Hutchins child abuse apology Anglican church	ff5b12051ff7dbfef9bd9dc73fd27b4d		20141121-pm04-frihutchins	text_manual	a sexual abuse survivor with dignity    Counsel assisting the child abuse royal commission suggested	4
3_5c1368672a6fb71c7b3b9cb834283e0f	royal commission Hutchins child abuse apology Anglican church	8ba11a154ea14b78f78b0e548b37d68b		20141007-rnam03-hillsong	text_manual	buzz of the mega church is a darker side    Today the child abuse royal commission will open a public	5
3_5c1368672a6fb71c7b3b9cb834283e0f	royal commission Hutchins child abuse apology Anglican church	ae18611915271beab68a217cc1ca6afb		20141212-am03-priestclibacy	text_manual	link between a priest's vow of celibacy and child sexual abuse has divided Australia's senior Catholic clergy	6
3_5c1368672a6fb71c7b3b9cb834283e0f	royal commission Hutchins child abuse apology Anglican church	f8f8fdb1e47541b15c14e56d01f7a2fd		20141218-twt09-hutchinsbraveheart	text_manual	The Royal Commission into Child Sexual Abuse won't be hearing from a former alleged paedophile	7
3_5c1368672a6fb71c7b3b9cb834283e0f	royal commission Hutchins child abuse apology Anglican church	4cdd91e175c06e0f6120020e018fe1c9		20141119-pm07-wedsrc	text_manual	at the child abuse Royal Commission today    The hearing centred on Tasmania's elite Hutchins School	8
3_5c1368672a6fb71c7b3b9cb834283e0f	royal commission Hutchins child abuse apology Anglican church	354fdc5240315ea682eeaf0829aefa60		20150226-twt07-hutchinsabuse	text_manual	for the allegations made at the royal commission into child sexual abuse earlier about a former Tasmanian	9
3_5c1368672a6fb71c7b3b9cb834283e0f	royal commission Hutchins child abuse apology Anglican church	e44e18ab8ab0c63ae9ecf611bb44e1cd		20141008-twt09-hillsongpastor	text_manual	Back home now to the child abuse royal commission, which is examining the case of the late	10
2_5eec4e901afc3ba022af54baf7f17f26	financial dealing of west australian minister	5eec4e901afc3ba022af54baf7f17f26		20141204-pm07-nalderthursday	text_manual	The West Australian Premier Colin Barnett is now considering a report on the financial interests	111
2_5eec4e901afc3ba022af54baf7f17f26	financial dealing of west australian minister	314c5ac57014fd72a41380649dd77303		20141009pm-04-budgetstoush	text_manual	NEIL MITCHELL  But should he be helping with financial measures, ie  your budget, to pay for it?   TONY	112
2_5eec4e901afc3ba022af54baf7f17f26	financial dealing of west australian minister	ae5cfd22a10d0aeb2890e9e5f7837a45		20141118-twt03-chineselabour	text_manual	Government is attempting to reassure Australian workers that the free trade deal with China won't undercut their	113
2_5eec4e901afc3ba022af54baf7f17f26	financial dealing of west australian minister	9b621325921e2a57dc747fd333ff1e1e		20150210-am02-bishopiv	text_manual	This is the challenge we have to deal with  We now have two Australians who are facing the death penalty__	114
2_5eec4e901afc3ba022af54baf7f17f26	financial dealing of west australian minister	a9b1a7de308dd5c1b6d74561555c8ac1		20141117-am04-barnabyivf	text_manual	Zealand deal though, people have been hoping that Australian famers would get as good a deal as New Zealand	115
2_5eec4e901afc3ba022af54baf7f17f26	financial dealing of west australian minister	dd7dbc8864008c2b610cdfbd465709d8		20141107-twt02-chinacattlereax	text_manual	to expect Australian producers could send a million cattle to China anytime soon, if a deal is formalised	116
2_5eec4e901afc3ba022af54baf7f17f26	financial dealing of west australian minister	f69d40a8e76fce4c438677d80b810638		20141110-twt02-jameslaurenceson	text_manual	bilateral deal, so it is just a deal with one country    Now of course, in terms of bilateral deals, this	117
2_5eec4e901afc3ba022af54baf7f17f26	financial dealing of west australian minister	16bc18686c23b4a0b2d42238021d6465		20150324-pm05-businessreax	text_manual	small business have praised the landmark deal    The Australian Council of Small Business says it has the	118
2_5eec4e901afc3ba022af54baf7f17f26	financial dealing of west australian minister	f544ffbc4a150b2a610982e6476c48e8		20150221-sam04-gearingreece	text_manual	has been granted a four-month extension to its financial rescue package    Our Europe correspondent Mary	119
